Level,Category ID,Category Name,Parent Category ID,Slug,Description,SEO Title,SEO Description,Is Active
1,1,Mobile Phones & Mobile Technology,,mobile-phones-mobile-technology,"Discover the latest smartphones, feature phones, and mobile accessories. From flagship Android devices to iPhones, find cutting-edge mobile technology for every need and budget.","Mobile Phones & Accessories | Shop Smartphones Online","Shop the latest smartphones, iPhones, Android phones, and mobile accessories. Fast charging, protective cases, wireless earbuds and more.",TRUE
2,101,Mobile Phones,1,mobile-phones,"Browse our extensive collection of mobile phones including Android smartphones, iPhones, gaming phones, and foldable devices from top brands worldwide.","Buy Mobile Phones Online | Android & iPhone","Shop Android smartphones, iPhones, gaming phones, foldable phones and more. Best prices on latest mobile devices.",TRUE
3,10101,Android Smartphones,101,android-smartphones,"Explore flagship and budget Android smartphones from Samsung, Google Pixel, OnePlus, Xiaomi, and more. Featuring the latest processors, cameras, and 5G connectivity.","Android Smartphones | Samsung, Pixel, OnePlus","Shop Android phones from top brands. Latest features, 5G connectivity, powerful cameras.",TRUE
3,10102,iPhones,101,iphones,"Shop the complete iPhone lineup including iPhone 15 Pro Max, iPhone 15, iPhone SE, and previous generation models. Experience Apple's ecosystem with iOS.","Buy iPhone | iPhone 15 Pro, iPhone SE","Shop all iPhone models. iPhone 15 Pro Max, iPhone 15, iPhone SE. Free shipping available.",TRUE
3,10103,Feature Phones,101,feature-phones,"Reliable feature phones with long battery life, FM radio, and essential communication features. Perfect for basic calling and texting needs.","Feature Phones | Basic Mobile Phones","Shop feature phones with long battery life. Nokia, Alcatel and more. Affordable basic phones.",TRUE
3,10104,Rugged Phones,101,rugged-phones,"Military-grade rugged smartphones built to withstand extreme conditions. IP68/69K rated, shockproof, and dustproof for outdoor and industrial use.","Rugged Phones | Waterproof & Shockproof","Shop rugged smartphones. Military-grade durability, waterproof, dustproof. Built for tough environments.",TRUE
3,10105,Foldable Phones,101,foldable-phones,"Revolutionary foldable smartphones featuring flexible displays. Samsung Galaxy Z Fold, Z Flip, and other innovative folding devices.","Foldable Phones | Samsung Galaxy Z Fold & Flip","Shop foldable smartphones. Galaxy Z Fold, Z Flip. Next-generation flexible display technology.",TRUE
3,10106,Gaming Phones,101,gaming-phones,"High-performance gaming smartphones with advanced cooling, high refresh rate displays, shoulder triggers, and optimized gaming features.","Gaming Phones | ASUS ROG, RedMagic","Shop gaming smartphones. High refresh rates, gaming triggers, advanced cooling systems.",TRUE
3,10107,Business & Enterprise Phones,101,business-enterprise-phones,"Secure business smartphones with enterprise-grade security features, long software support, and productivity tools for professional use.","Business Phones | Enterprise Smartphones","Shop business smartphones with enterprise security. Samsung Knox, BlackBerry and more.",TRUE
3,10108,Refurbished Phones,101,refurbished-phones,"Certified refurbished smartphones tested and restored to like-new condition. Save money on premium devices with warranty coverage.","Refurbished Phones | Certified Pre-Owned","Shop certified refurbished smartphones. Like-new condition, warranty included. Save up to 50%.",TRUE
2,102,Mobile Accessories,1,mobile-accessories,"Complete your mobile experience with premium accessories including cases, chargers, screen protectors, wireless earbuds, and more.","Mobile Accessories | Cases, Chargers, Earbuds","Shop mobile phone accessories. Protective cases, fast chargers, wireless earbuds, screen protectors.",TRUE
3,10201,Phone Cases & Protection,102,phone-cases-protection,"Protect your smartphone with premium cases, screen protectors, and camera lens covers. From slim silicone to heavy-duty rugged protection.","Phone Cases | Screen Protectors","Shop phone cases and screen protectors. Silicone, leather, rugged cases. Tempered glass protectors.",TRUE
4,1020101,Silicone Cases,10201,silicone-cases,"Flexible silicone phone cases offering lightweight protection with a soft-touch feel. Available in multiple colors and designs.","Silicone Phone Cases | Soft TPU Cases","Shop silicone phone cases. Soft, flexible, lightweight protection. Multiple colors available.",TRUE
4,1020102,Leather Cases,10201,leather-cases,"Premium genuine and PU leather phone cases combining elegant style with reliable protection. Professional look for business users.","Leather Phone Cases | Premium Cases","Shop leather phone cases. Genuine leather, PU leather. Elegant professional protection.",TRUE
4,1020103,Rugged Cases,10201,rugged-cases,"Heavy-duty rugged phone cases with military-grade drop protection. Multi-layer defense for extreme durability.","Rugged Phone Cases | Heavy Duty Protection","Shop rugged phone cases. Military-grade protection, multi-layer defense. Built for drops.",TRUE
4,1020104,Wallet Cases,10201,wallet-cases,"Convenient wallet phone cases with card slots and cash pockets. Combine your phone and wallet in one sleek package.","Wallet Phone Cases | Card Holder Cases","Shop wallet phone cases. Card slots, cash pocket, flip cover. All-in-one convenience.",TRUE
4,1020105,Waterproof Cases,10201,waterproof-cases,"IP68 rated waterproof phone cases for underwater photography and water sports. Full protection while maintaining touch sensitivity.","Waterproof Phone Cases | Swim & Dive Cases","Shop waterproof phone cases. IP68 rated, underwater use. Perfect for swimming and diving.",TRUE
4,1020106,Screen Protectors,10201,screen-protectors,"High-quality screen protectors including tempered glass, hydrogel film, and matte anti-glare options. Bubble-free installation.","Screen Protectors | Tempered Glass","Shop screen protectors. Tempered glass, hydrogel, matte. 9H hardness, bubble-free install.",TRUE
4,1020107,Camera Lens Protectors,10201,camera-lens-protectors,"Precision-cut camera lens protectors to shield your phone's camera from scratches and impacts without affecting photo quality.","Camera Lens Protectors | Lens Covers","Shop camera lens protectors. Scratch-proof, crystal clear. Protect your phone camera.",TRUE
3,10202,Power & Charging,102,power-charging,"Fast chargers, wireless charging pads, power banks, and charging cables to keep your devices powered throughout the day.","Phone Chargers | Power Banks","Shop phone chargers and power banks. Fast charging, wireless chargers, portable power.",TRUE
4,1020201,Wall Chargers,10202,wall-chargers,"Compact wall chargers with USB-A and USB-C ports. Single and multi-port options for home and office charging.","Wall Chargers | USB Chargers","Shop wall chargers. USB-A, USB-C ports. Fast charging for all devices.",TRUE
4,1020202,Fast Chargers,10202,fast-chargers,"Quick charge adapters supporting QC3.0, QC4.0, PD (Power Delivery), and brand-specific fast charging protocols.","Fast Chargers | Quick Charge Adapters","Shop fast chargers. Quick Charge 3.0/4.0, USB-PD. Charge up to 65% in 30 minutes.",TRUE
4,1020203,GaN Chargers,10202,gan-chargers,"Compact GaN (Gallium Nitride) chargers delivering high wattage in ultra-small form factors. Up to 65W-140W in pocket-sized designs.","GaN Chargers | Compact Fast Chargers","Shop GaN chargers. Ultra-compact, high wattage. 65W-140W in pocket-sized design.",TRUE
4,1020204,Wireless Chargers,10202,wireless-chargers,"Qi-certified wireless charging pads and stands. Fast wireless charging for compatible smartphones and earbuds.","Wireless Chargers | Qi Charging Pads","Shop wireless chargers. Qi-certified, fast wireless charging. Pads and stands available.",TRUE
4,1020205,Magnetic Chargers,10202,magnetic-chargers,"MagSafe and magnetic wireless chargers with perfect alignment every time. Compatible with iPhone and magnetic case accessories.","Magnetic Chargers | MagSafe Chargers","Shop magnetic chargers. MagSafe compatible, perfect alignment. Fast magnetic wireless charging.",TRUE
4,1020206,Power Banks,10202,power-banks,"Portable power banks from 5000mAh to 30000mAh capacity. Fast charging, wireless charging, and solar-powered options available.","Power Banks | Portable Chargers","Shop power banks. 5000mAh to 30000mAh. Fast charging, wireless, solar options.",TRUE
