Product ID,Product Name,Category Slug,Product Type,Description,Price (USD),SKU,Weight (kg),Stock Quantity,Brand,Is Published,Is Featured,SEO Title,SEO Description
P001,Samsung Galaxy S24 Ultra 256GB,android-smartphones,Physical,"The ultimate Android smartphone featuring a 6.8-inch Dynamic AMOLED 2X display, 200MP camera system, S Pen included, Snapdragon 8 Gen 3 processor, and 5000mAh battery with 45W fast charging.",1299.99,SAM-S24U-256,0.233,50,Samsung,TRUE,TRUE,Samsung Galaxy S24 Ultra | Buy Now,Shop Samsung Galaxy S24 Ultra 256GB. 200MP camera S Pen Snapdragon 8 Gen 3.
P002,iPhone 15 Pro Max 256GB,iphones,Physical,"Apple's most advanced iPhone with A17 Pro chip, 6.7-inch Super Retina XDR display, 48MP main camera with 5x optical zoom, USB-C with USB 3 speeds, and aerospace-grade titanium design.",1199.00,APL-IP15PM-256,0.221,75,Apple,TRUE,TRUE,iPhone 15 Pro Max 256GB | Apple iPhone,Buy iPhone 15 Pro Max. A17 Pro chip titanium design 48MP camera system.
P003,Google Pixel 8 Pro 128GB,android-smartphones,Physical,"Google's AI-powered flagship with Tensor G3 chip, 6.7-inch LTPO OLED display, best-in-class computational photography, 7 years of OS updates, and advanced AI features.",999.00,GOO-PX8P-128,0.213,40,Google,TRUE,FALSE,Google Pixel 8 Pro | AI Smartphone,Shop Google Pixel 8 Pro. Tensor G3 7 years updates AI photography.
P004,Samsung Galaxy Z Fold 5 512GB,foldable-phones,Physical,"Revolutionary foldable smartphone with 7.6-inch main display, Flex Mode for hands-free video calls, Snapdragon 8 Gen 2, S Pen support, and IPX8 water resistance.",1799.99,SAM-ZF5-512,0.253,25,Samsung,TRUE,TRUE,Samsung Galaxy Z Fold 5 | Foldable Phone,Shop Galaxy Z Fold 5. 7.6-inch foldable display S Pen support.
P005,ASUS ROG Phone 8 Pro 512GB,gaming-phones,Physical,"Ultimate gaming smartphone with Snapdragon 8 Gen 3, 165Hz AMOLED display, AirTrigger 8 ultrasonic buttons, 6000mAh battery, and ROG GameCool 8 cooling system.",1099.99,ASU-ROG8P-512,0.225,30,ASUS,TRUE,FALSE,ASUS ROG Phone 8 Pro | Gaming Phone,Shop ROG Phone 8 Pro. 165Hz display AirTrigger gaming optimized.
P006,Nokia 110 4G Feature Phone,feature-phones,Physical,"Reliable feature phone with 4G connectivity, FM radio, MP3 player, 1.8-inch display, built-in torch, and up to 21 days standby battery life.",39.99,NOK-110-4G,0.080,200,Nokia,TRUE,FALSE,Nokia 110 4G | Feature Phone,Buy Nokia 110 4G. Long battery FM radio 4G connectivity.
P007,CAT S62 Pro Rugged Smartphone,rugged-phones,Physical,"Thermal imaging rugged smartphone with FLIR Lepton 3.5 sensor, MIL-SPEC 810H rating, IP68/69 waterproof, Snapdragon 660, and 4000mAh battery.",649.00,CAT-S62PRO,0.248,15,CAT,TRUE,FALSE,CAT S62 Pro | Thermal Imaging Rugged Phone,Shop CAT S62 Pro. FLIR thermal imaging military-grade rugged.
P008,Samsung Galaxy Z Flip 5 256GB,foldable-phones,Physical,"Compact foldable phone with 6.7-inch main display, 3.4-inch Flex Window cover screen, Snapdragon 8 Gen 2, FlexCam, and slim folding design.",999.99,SAM-ZF5-256,0.187,45,Samsung,TRUE,FALSE,Samsung Galaxy Z Flip 5 | Compact Foldable,Buy Galaxy Z Flip 5. Compact foldable Flex Window cover screen.
P009,BlackBerry KEY2 LE Business Phone,business-enterprise-phones,Physical,"Secure business smartphone with physical QWERTY keyboard, DTEK security platform, 4.5-inch display, dual cameras, and convenient Speed Key shortcut.",449.00,BB-KEY2LE,0.156,10,BlackBerry,TRUE,FALSE,BlackBerry KEY2 LE | Business Phone,Shop BlackBerry KEY2 LE. Physical keyboard DTEK security business.
P010,Spigen Tough Armor Case iPhone 15 Pro Max,rugged-cases,Physical,"Military-grade drop protection with Air Cushion technology, raised bezels for screen and camera protection, and built-in kickstand for hands-free viewing.",39.99,SPI-TA-IP15PM,0.085,200,Spigen,TRUE,FALSE,Spigen Tough Armor iPhone 15 Pro Max Case,Buy Spigen Tough Armor. Military-grade protection kickstand.
P011,Apple Leather Case iPhone 15 Pro,leather-cases,Physical,"Premium tanned European leather case with MagSafe built-in, develops natural patina over time, and provides elegant protection for your iPhone.",59.00,APL-LTHR-IP15P,0.025,150,Apple,TRUE,FALSE,Apple Leather Case iPhone 15 Pro,Shop Apple Leather Case. European leather MagSafe natural patina.
P012,OtterBox Defender Series Galaxy S24 Ultra,rugged-cases,Physical,"Multi-layer rugged protection with port covers, included holster/belt clip, antimicrobial technology, and DROP+ certified protection.",69.95,OTB-DEF-S24U,0.142,100,OtterBox,TRUE,FALSE,OtterBox Defender Galaxy S24 Ultra,Buy OtterBox Defender. Multi-layer protection holster included.
P013,Bellroy Leather Wallet Case iPhone 15,wallet-cases,Physical,"Premium leather wallet case with 3 card slots, magnetic closure, wireless charging compatible, and environmentally certified leather.",79.00,BLR-WLT-IP15,0.065,60,Bellroy,TRUE,FALSE,Bellroy Wallet Case iPhone 15,Shop Bellroy Wallet Case. 3 card slots wireless charging leather.
P014,TORRAS Diamond Clear Case iPhone 15 Pro,silicone-cases,Physical,"Crystal clear TPU case with 10X anti-yellowing technology, military-grade shockproof corners, and precise cutouts for all ports.",24.99,TOR-CLR-IP15P,0.035,300,TORRAS,TRUE,FALSE,TORRAS Clear Case iPhone 15 Pro,Buy TORRAS Clear Case. Anti-yellowing military shockproof crystal clear.
P015,amFilm Tempered Glass Screen Protector iPhone 15 Pro Max (3-Pack),screen-protectors,Physical,"9H hardness tempered glass screen protector with easy installation frame, oleophobic coating, and case-friendly design. Includes 3 protectors.",14.99,AMF-TG-IP15PM-3,0.120,500,amFilm,TRUE,FALSE,amFilm Screen Protector iPhone 15 Pro Max,Shop amFilm tempered glass. 9H hardness easy install 3-pack.
P016,Spigen Camera Lens Protector Galaxy S24 Ultra,camera-lens-protectors,Physical,"Individual tempered glass lens protectors with 9H hardness, anti-fingerprint coating, and precision cut for each camera lens. 2-pack.",12.99,SPI-LENS-S24U,0.015,400,Spigen,TRUE,FALSE,Spigen Lens Protector Galaxy S24 Ultra,Buy Spigen lens protector. Tempered glass 9H hardness 2-pack.
P017,Samsung 45W Super Fast Charger 2.0,fast-chargers,Physical,"Official Samsung 45W PD3.0 PPS charger with USB-C port, compatible with Galaxy S24/S23/Note series and USB-PD devices. Compact foldable design.",49.99,SAM-45W-CHG,0.065,150,Samsung,TRUE,FALSE,Samsung 45W Fast Charger,Shop Samsung 45W charger. PD3.0 PPS compact foldable.
P018,Anker 737 GaNPrime 120W Charger,gan-chargers,Physical,"Ultra-compact 120W 3-port GaN charger with 2 USB-C and 1 USB-A port. PowerIQ 4.0 technology for optimized charging. Foldable plug.",89.99,ANK-737-120W,0.187,100,Anker,TRUE,TRUE,Anker 737 GaNPrime 120W Charger,Buy Anker 737 120W. GaN technology 3 ports ultra-compact.
P019,Apple MagSafe Charger,magnetic-chargers,Physical,"Perfectly aligned wireless charging for iPhone with MagSafe, delivers up to 15W of power, compatible with MagSafe cases and accessories.",39.00,APL-MAGSAFE-CHG,0.040,200,Apple,TRUE,FALSE,Apple MagSafe Charger,Shop Apple MagSafe Charger. 15W wireless perfect alignment.
P020,Belkin BoostCharge Pro 3-in-1 MagSafe Charger,charging-docks,Physical,"Premium charging dock for iPhone, Apple Watch, and AirPods simultaneously. 15W MagSafe for iPhone, fast charging for Watch, and Qi pad for AirPods.",149.99,BLK-3IN1-MAG,0.450,75,Belkin,TRUE,TRUE,Belkin 3-in-1 MagSafe Charger,Buy Belkin 3-in-1 charger. iPhone Watch AirPods simultaneously.
P021,Anker 737 PowerCore 24K Power Bank,power-banks,Physical,"24000mAh portable charger with 140W bi-directional charging, smart digital display, USB-C and USB-A ports. Charges MacBook Pro 0-50% in 40 mins.",149.99,ANK-737PB-24K,0.632,80,Anker,TRUE,FALSE,Anker 737 PowerCore 24K,Shop Anker 737 24K. 140W charging 24000mAh digital display.
P022,Anker USB-C to USB-C 100W Cable 6ft,usb-c-cables,Physical,"Premium braided USB-C cable with 100W Power Delivery, 480Mbps data transfer, and reinforced stress points. 6-foot length.",19.99,ANK-USBC-100W-6,0.055,400,Anker,TRUE,FALSE,Anker USB-C Cable 100W 6ft,Buy Anker USB-C cable. 100W PD braided durable 6ft.
P023,Apple USB-C to Lightning Cable 2m,lightning-cables,Physical,"Official Apple USB-C to Lightning cable for fast charging iPhone and iPad. MFi certified, supports USB Power Delivery. 2-meter length.",29.00,APL-USBC-LTN-2M,0.030,250,Apple,TRUE,FALSE,Apple USB-C to Lightning Cable 2m,Shop Apple Lightning cable. Fast charging MFi certified 2m.
P024,UGREEN USB-C Hub 7-in-1,usb-c-hubs,Physical,"Portable USB-C hub with HDMI 4K@60Hz output, 100W PD pass-through, SD/microSD slots, 2x USB-A 3.0 ports, and USB-C data port.",49.99,UGR-HUB-7IN1,0.085,120,UGREEN,TRUE,FALSE,UGREEN USB-C Hub 7-in-1,Buy UGREEN USB-C hub. HDMI 4K 100W PD SD card reader.
P025,Apple AirPods Pro 2nd Generation USB-C,wireless-earbuds,Physical,"Premium wireless earbuds with H2 chip, 2x Active Noise Cancellation, Adaptive Transparency, Personalized Spatial Audio, and MagSafe USB-C case.",249.00,APL-APP2-USBC,0.051,120,Apple,TRUE,TRUE,AirPods Pro 2 USB-C,Buy AirPods Pro 2. H2 chip 2x ANC Spatial Audio USB-C.
P026,Sony WF-1000XM5 Wireless Earbuds,wireless-earbuds,Physical,"Industry-leading noise canceling earbuds with Integrated Processor V2, LDAC Hi-Res Audio, Speak-to-Chat, and 8-hour battery. 25% smaller.",299.99,SNY-WF1000XM5,0.059,60,Sony,TRUE,FALSE,Sony WF-1000XM5 Earbuds,Shop Sony WF-1000XM5. Best ANC Hi-Res Audio compact.
P027,Samsung Galaxy Buds2 Pro,wireless-earbuds,Physical,"Premium wireless earbuds with 24-bit Hi-Fi audio, Intelligent ANC, 360 Audio, IPX7 water resistance, and seamless Galaxy ecosystem integration.",229.99,SAM-BUDS2PRO,0.047,90,Samsung,TRUE,FALSE,Samsung Galaxy Buds2 Pro,Buy Galaxy Buds2 Pro. 24-bit Hi-Fi 360 Audio water resistant.
P028,Shure Aonic 3 Wired Earphones,wired-earphones,Physical,"Professional in-ear monitors with single balanced armature driver, sound isolating design, MMCX detachable cable, and premium carrying case.",199.00,SHR-AONIC3,0.029,35,Shure,TRUE,FALSE,Shure Aonic 3 Earphones,Shop Shure Aonic 3. Balanced armature sound isolating professional.
P029,Sony Neckband WI-C100 Wireless Earphones,neckband-earphones,Physical,"Lightweight wireless neckband with 25-hour battery, DSEE sound enhancement, IPX4 splash proof, quick charge, and magnetic earbuds.",35.00,SNY-WIC100,0.020,150,Sony,TRUE,FALSE,Sony WI-C100 Neckband Earphones,Buy Sony WI-C100. 25-hour battery IPX4 lightweight.
P030,Rode Wireless GO II Lavalier System,lavalier-microphones,Physical,"Dual-channel wireless microphone system with two transmitters, 200m range, on-board recording, and USB-C audio interface functionality.",299.00,ROD-WLSGO2,0.030,40,Rode,TRUE,TRUE,Rode Wireless GO II,Shop Rode Wireless GO II. Dual-channel 200m range on-board recording.
P031,iOttie Easy One Touch 5 Car Mount,car-phone-holders,Physical,"Universal car phone holder with easy one-touch mounting, telescoping arm, 360° rotation, and dashboard/windshield mounting options.",29.99,IOT-EOT5-DASH,0.340,180,iOttie,TRUE,FALSE,iOttie Easy One Touch 5 Car Mount,Buy iOttie car mount. One-touch mounting 360 rotation universal.
P032,Quad Lock Bike Mount Kit,bike-phone-mounts,Physical,"Secure bike phone mount with patented dual-stage lock, 360° rotation, vibration dampening, and weatherproof design. Includes case.",69.99,QLK-BIKE-KIT,0.095,70,Quad Lock,TRUE,FALSE,Quad Lock Bike Mount Kit,Shop Quad Lock bike mount. Dual-stage lock vibration dampening.
P033,Lamicall Adjustable Phone Stand,desk-phone-stands,Physical,"Premium aluminum desk phone stand with adjustable viewing angle, anti-slip silicone pads, cable routing, and foldable portable design.",15.99,LAM-STAND-ALU,0.180,250,Lamicall,TRUE,FALSE,Lamicall Phone Stand,Buy Lamicall phone stand. Aluminum adjustable foldable.
P034,Apple MacBook Air 15-inch M3 512GB,ultrabooks,Physical,"Stunningly thin 15.3-inch Liquid Retina display, Apple M3 chip with 8-core GPU, 18-hour battery life, MagSafe charging, and fanless silent design.",1499.00,APL-MBA15-M3-512,1.51,45,Apple,TRUE,TRUE,MacBook Air 15 M3,Buy MacBook Air 15 M3. 15.3-inch display 18-hour battery silent.
P035,Dell XPS 15 9530 OLED,ultrabooks,Physical,"Premium 15.6-inch 3.5K OLED touch display, Intel Core i7-13700H, 32GB RAM, 1TB SSD, NVIDIA RTX 4060, and stunning InfinityEdge design.",1899.99,DEL-XPS15-OLED,1.86,30,Dell,TRUE,FALSE,Dell XPS 15 OLED,Shop Dell XPS 15 OLED. 3.5K display RTX 4060 InfinityEdge.
P036,Lenovo ThinkPad X1 Carbon Gen 11,business-laptops,Physical,"Premium business ultrabook with 14-inch 2.8K OLED display, Intel Core i7-1365U, 16GB RAM, 512GB SSD, fingerprint reader, and MIL-STD-810H.",1849.00,LEN-X1C-G11,1.12,30,Lenovo,TRUE,FALSE,ThinkPad X1 Carbon Gen 11,Shop ThinkPad X1 Carbon. OLED display Intel Core i7 military durable.
P037,HP EliteBook 840 G10,business-laptops,Physical,"Enterprise business laptop with 14-inch anti-glare display, Intel Core i7 vPro, 16GB RAM, 512GB SSD, HP Wolf Security, and 4G LTE option.",1599.00,HP-EB840-G10,1.36,25,HP,TRUE,FALSE,HP EliteBook 840 G10,Buy HP EliteBook 840. Intel vPro HP Wolf Security enterprise.
P038,Acer Aspire 5 A515-57,student-laptops,Physical,"Affordable student laptop with 15.6-inch Full HD IPS display, Intel Core i5-1235U, 8GB RAM, 512GB SSD, fingerprint reader, and all-day battery.",549.99,ACR-A515-57,1.76,100,Acer,TRUE,FALSE,Acer Aspire 5 Student Laptop,Shop Acer Aspire 5. Affordable Full HD Intel Core i5.
P039,ASUS ROG Strix G16 RTX 4070,gaming-laptops,Physical,"Powerful gaming laptop with 16-inch 240Hz QHD display, Intel Core i9-14900HX, NVIDIA RTX 4070, 32GB DDR5, 1TB SSD, and ROG Intelligent Cooling.",1999.99,ASU-ROG-G16-4070,2.50,25,ASUS,TRUE,TRUE,ASUS ROG Strix G16 RTX 4070,Buy ROG Strix G16. RTX 4070 240Hz display Intel Core i9.
P040,MSI Raider GE78 HX RTX 4090,gaming-laptops,Physical,"Ultimate gaming laptop with 17-inch 240Hz QHD+ display, Intel Core i9-14900HX, NVIDIA RTX 4090, 64GB DDR5, 2TB SSD, and Cooler Boost 5 thermal.",3499.99,MSI-GE78-4090,3.10,15,MSI,TRUE,TRUE,MSI Raider GE78 HX RTX 4090,Shop MSI Raider GE78. RTX 4090 240Hz ultimate gaming power.
P041,Microsoft Surface Pro 9 i7 16GB,2-in-1-convertible-laptops,Physical,"Versatile 2-in-1 with 13-inch PixelSense Flow 120Hz display, Intel Core i7, 16GB RAM, 256GB SSD, Windows 11 Pro, and optional Type Cover.",1599.99,MS-SP9-i7-256,0.879,35,Microsoft,TRUE,FALSE,Surface Pro 9 Intel Core i7,Shop Surface Pro 9. 2-in-1 PixelSense Flow Windows 11 Pro.
